,raceId,year,race_name,race_date,driverId,first_name,last_name,nationality,constructorId,position,points,laps,fastest_lap,fastest_lap_speed
20320,337,2010,Bahrain Grand Prix,2010-03-14,4,Fernando,Alonso,Spanish,6,1,25.0,49,45,191.706
20321,337,2010,Bahrain Grand Prix,2010-03-14,13,Felipe,Massa,Brazilian,6,2,18.0,49,38,189.392
20322,337,2010,Bahrain Grand Prix,2010-03-14,1,Lewis,Hamilton,British,1,3,15.0,49,42,189.665
20323,337,2010,Bahrain Grand Prix,2010-03-14,20,Sebastian,Vettel,German,9,4,12.0,49,32,188.627
20324,337,2010,Bahrain Grand Prix,2010-03-14,3,Nico,Rosberg,German,131,5,10.0,49,45,188.599
20325,337,2010,Bahrain Grand Prix,2010-03-14,30,Michael,Schumacher,German,131,6,8.0,49,45,188.649
20326,337,2010,Bahrain Grand Prix,2010-03-14,18,Jenson,Button,British,1,7,6.0,49,45,189.017
20327,337,2010,Bahrain Grand Prix,2010-03-14,17,Mark,Webber,Australian,9,8,4.0,49,45,189.781
20328,337,2010,Bahrain Grand Prix,2010-03-14,24,Vitantonio,Liuzzi,Italian,10,9,2.0,49,39,189.118
20329,337,2010,Bahrain Grand Prix,2010-03-14,22,Rubens,Barrichello,Brazilian,3,10,1.0,49,47,189.233
20330,337,2010,Bahrain Grand Prix,2010-03-14,9,Robert,Kubica,Polish,4,11,0.0,49,33,188.226
20331,337,2010,Bahrain Grand Prix,2010-03-14,16,Adrian,Sutil,German,10,12,0.0,49,49,189.930
20332,337,2010,Bahrain Grand Prix,2010-03-14,153,Jaime,Alguersuari,Spanish,5,13,0.0,49,28,189.026
20333,337,2010,Bahrain Grand Prix,2010-03-14,807,Nico,Hülkenberg,German,3,14,0.0,48,34,186.789
20334,337,2010,Bahrain Grand Prix,2010-03-14,5,Heikki,Kovalainen,Finnish,205,15,0.0,47,47,184.810
20335,337,2010,Bahrain Grand Prix,2010-03-14,67,Sébastien,Buemi,Swiss,5,16,0.0,46,41,188.844
20336,337,2010,Bahrain Grand Prix,2010-03-14,15,Jarno,Trulli,Italian,205,17,0.0,46,34,184.465
20337,337,2010,Bahrain Grand Prix,2010-03-14,37,Pedro,de la Rosa,Spanish,15,\N,0.0,28,27,186.406
20338,337,2010,Bahrain Grand Prix,2010-03-14,811,Bruno,Senna,Brazilian,164,\N,0.0,17,14,175.613
20339,337,2010,Bahrain Grand Prix,2010-03-14,10,Timo,Glock,German,166,\N,0.0,16,11,178.467
20340,337,2010,Bahrain Grand Prix,2010-03-14,808,Vitaly,Petrov,Russian,4,\N,0.0,13,7,182.422
20341,337,2010,Bahrain Grand Prix,2010-03-14,155,Kamui,Kobayashi,Japanese,15,\N,0.0,11,4,181.347
20342,337,2010,Bahrain Grand Prix,2010-03-14,810,Lucas,di Grassi,Brazilian,166,\N,0.0,2,2,175.295
20343,337,2010,Bahrain Grand Prix,2010-03-14,812,Karun,Chandhok,Indian,164,\N,0.0,1,\N,\N
20344,338,2010,Australian Grand Prix,2010-03-28,18,Jenson,Button,British,1,1,25.0,58,52,213.804
20345,338,2010,Australian Grand Prix,2010-03-28,9,Robert,Kubica,Polish,4,2,18.0,58,52,213.138
20346,338,2010,Australian Grand Prix,2010-03-28,13,Felipe,Massa,Brazilian,6,3,15.0,58,52,213.216
20347,338,2010,Australian Grand Prix,2010-03-28,4,Fernando,Alonso,Spanish,6,4,12.0,58,47,212.812
20348,338,2010,Australian Grand Prix,2010-03-28,3,Nico,Rosberg,German,131,5,10.0,58,53,215.742
20349,338,2010,Australian Grand Prix,2010-03-28,1,Lewis,Hamilton,British,1,6,8.0,58,47,215.700
20350,338,2010,Australian Grand Prix,2010-03-28,24,Vitantonio,Liuzzi,Italian,10,7,6.0,58,55,212.865
20351,338,2010,Australian Grand Prix,2010-03-28,22,Rubens,Barrichello,Brazilian,3,8,4.0,58,58,213.998
20352,338,2010,Australian Grand Prix,2010-03-28,17,Mark,Webber,Australian,9,9,2.0,58,47,216.061
20353,338,2010,Australian Grand Prix,2010-03-28,30,Michael,Schumacher,German,131,10,1.0,58,58,214.058
20354,338,2010,Australian Grand Prix,2010-03-28,153,Jaime,Alguersuari,Spanish,5,11,0.0,58,49,212.798
20355,338,2010,Australian Grand Prix,2010-03-28,37,Pedro,de la Rosa,Spanish,15,12,0.0,58,54,210.745
20356,338,2010,Australian Grand Prix,2010-03-28,5,Heikki,Kovalainen,Finnish,205,13,0.0,56,52,203.878
20357,338,2010,Australian Grand Prix,2010-03-28,812,Karun,Chandhok,Indian,164,14,0.0,53,48,200.860
20358,338,2010,Australian Grand Prix,2010-03-28,10,Timo,Glock,German,166,\N,0.0,41,37,202.597
20359,338,2010,Australian Grand Prix,2010-03-28,810,Lucas,di Grassi,Brazilian,166,\N,0.0,26,17,197.613
20360,338,2010,Australian Grand Prix,2010-03-28,20,Sebastian,Vettel,German,9,\N,0.0,25,22,208.515
